move_order,gamma,width,height,goal_rows,rel_tol,states,pure_states,degenerate_states,mixed_states,mixed_fraction,iterations,lp_calls,runtime_s,kickoff_value,max_value_bracket_gap,duality_gap
deterministic,0.5,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.334,0.0,0.0,nan
deterministic,0.6,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.335,0.0,0.0,nan
deterministic,0.7,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.334,0.0,0.0,nan
deterministic,0.8,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.336,0.0,0.0,nan
deterministic,0.9,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.393,0.0,0.0,nan
deterministic,0.95,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.333,0.0,0.0,nan
deterministic,0.99,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.332,0.0,0.0,nan
deterministic,0.995,7,5,1|2|3,1e-06,2380,0,2380,0,0.0,9,0,0.335,0.0,0.0,nan
random,0.5,7,5,1|2|3,1e-06,2380,620,1638,122,0.05126050420168067,26,2462,3.77,0.000948,2.7755575615628914e-17,nan
random,0.6,7,5,1|2|3,1e-06,2380,614,1646,120,0.05042016806722689,34,3402,4.838,0.0047,4.163336342344337e-17,nan
random,0.7,7,5,1|2|3,1e-06,2380,606,1674,100,0.04201680672268908,45,4058,5.892,0.018042,7.806255641895632e-17,nan
random,0.8,7,5,1|2|3,1e-06,2380,596,1686,98,0.041176470588235294,65,5928,8.388,0.057255,8.326672684688674e-17,nan
random,0.9,7,5,1|2|3,1e-06,2380,604,1682,94,0.03949579831932773,108,9672,13.654,0.150132,2.220446049250313e-16,nan
random,0.95,7,5,1|2|3,1e-06,2380,572,1714,94,0.03949579831932773,167,15632,26.94,0.224374,1.1102230246251565e-16,nan
random,0.99,7,5,1|2|3,1e-06,2380,588,1690,102,0.04285714285714286,317,30684,44.063,0.308508,2.7755575615628914e-16,nan
random,0.995,7,5,1|2|3,1e-06,2380,588,1690,102,0.04285714285714286,373,33128,47.257,0.32079,7.771561172376096e-16,nan
